date,price,open,high,low,vol.,change_%,volume,date_ddmmyyyy,ret_close,ret_reported
2015-01-27,56.2,56.05,56.61,55.76,15.22M,-0.01,15220000.0,27/01/2015,-0.010040514356174035,-0.01
2015-01-28,54.75,56.62,56.68,54.75,24.35M,-0.0258,24350000.0,28/01/2015,-0.025800711743772298,-0.0258
2015-01-29,55.67,55.27,55.89,54.68,20.39M,0.0168,20390000.0,29/01/2015,0.016803652968036653,0.0168
2015-01-30,54.38,54.99,55.49,54.37,26.94M,-0.0232,26940000.0,30/01/2015,-0.02317226513382431,-0.0232
2015-02-02,55.47,54.53,55.65,54.27,20.31M,0.02,20310000.0,02/02/2015,0.020044133872747283,0.02
2015-02-03,56.72,55.91,56.78,55.87,18.81M,0.0225,18810000.0,03/02/2015,0.022534703443302773,0.0225
2015-02-04,56.38,56.32,57.07,56.28,14.93M,-0.006,14930000.0,04/02/2015,-0.005994358251057763,-0.006
2015-02-05,56.77,56.86,57.04,56.46,11.29M,0.0069,11290000.0,05/02/2015,0.00691734657680021,0.0069
2015-02-06,57.89,57.75,58.73,57.54,25.21M,0.0197,25210000.0,06/02/2015,0.019728729963008673,0.0197
2015-02-09,57.82,57.42,58.09,57.23,14.37M,-0.0012,14370000.0,09/02/2015,-0.0012091898428053804,-0.0012
2015-02-10,58.46,58.42,58.71,58.05,16.37M,0.0111,16370000.000000002,10/02/2015,0.011068834313386455,0.0111
2015-02-11,58.37,58.06,58.66,57.84,13.06M,-0.0015,13060000.0,11/02/2015,-0.00153951419774212,-0.0015
2015-02-12,59.57,58.93,59.71,58.55,23.21M,0.0206,23210000.0,12/02/2015,0.02055850608189136,0.0206
2015-02-13,59.67,59.46,60.22,59.34,16.48M,0.0017,16480000.0,13/02/2015,0.001678697330871337,0.0017
2015-02-17,60.1,59.36,60.14,59.31,15.31M,0.0072,15310000.0,17/02/2015,0.007206301323948283,0.0072
2015-02-18,59.37,59.79,59.83,59.12,14.28M,-0.0121,14280000.0,18/02/2015,-0.012146422628951825,-0.0121
2015-02-19,59.23,59.15,59.48,58.8,11.26M,-0.0024,11260000.0,19/02/2015,-0.00235809331312109,-0.0024
2015-02-20,59.8,58.96,59.89,58.35,15.38M,0.0096,15380000.0,20/02/2015,0.009623501603917006,0.0096
2015-02-23,59.35,59.5,59.53,58.8,16.81M,-0.0075,16810000.0,23/02/2015,-0.007525083612040073,-0.0075
2015-02-24,60.82,60.25,61.25,60.08,22.94M,0.0248,22940000.0,24/02/2015,0.024768323504633427,0.0248
2015-02-25,61.14,60.76,61.27,60.75,18.31M,0.0053,18310000.0,25/02/2015,0.005261427162117638,0.0053
2015-02-26,61.58,61.03,61.7,60.91,15.44M,0.0072,15440000.0,26/02/2015,0.00719659797186778,0.0072
2015-02-27,61.28,61.13,61.92,61.13,15.23M,-0.0049,15230000.0,27/02/2015,-0.004871711594673589,-0.0049
2015-03-02,61.77,61.24,61.83,61.03,13.05M,0.008,13050000.0,02/03/2015,0.007996083550913857,0.008
2015-03-03,61.97,61.65,61.99,61.5,13.71M,0.0032,13710000.0,03/03/2015,0.0032378177108627337,0.0032
2015-03-04,62.13,61.64,62.17,61.35,16.63M,0.0026,16629999.999999998,04/03/2015,0.0025818944650637388,0.0026
2015-03-05,62.0,62.2,62.23,61.6,10.93M,-0.0021,10930000.0,05/03/2015,-0.0020923869306294085,-0.0021
2015-03-06,60.89,62.16,62.87,60.8,22.72M,-0.0179,22720000.0,06/03/2015,-0.01790322580645165,-0.0179
2015-03-09,61.5,60.84,61.63,60.8,13.00M,0.01,13000000.0,09/03/2015,0.0100180653637707,0.01
2015-03-10,59.96,60.76,61.01,59.96,16.36M,-0.025,16360000.0,10/03/2015,-0.02504065040650405,-0.025
2015-03-11,60.24,60.13,60.65,59.95,13.02M,0.0047,13020000.0,11/03/2015,0.004669779853235578,0.0047
2015-03-12,61.37,60.65,61.45,60.65,18.16M,0.0188,18160000.0,12/03/2015,0.018758300132801997,0.0188
2015-03-13,61.0,61.4,61.86,60.43,16.51M,-0.006,16510000.000000002,13/03/2015,-0.00602900439954368,-0.006
2015-03-16,61.85,61.5,61.92,61.25,15.18M,0.0139,15180000.0,16/03/2015,0.013934426229508245,0.0139
2015-03-17,61.61,61.34,61.66,60.92,11.72M,-0.0039,11720000.0,17/03/2015,-0.0038803556992724753,-0.0039
2015-03-18,61.75,61.39,62.05,61.09,15.70M,0.0023,15700000.0,18/03/2015,0.002272358383379247,0.0023
2015-03-19,61.2,61.57,61.65,60.76,11.52M,-0.0089,11520000.0,19/03/2015,-0.008906882591093068,-0.0089
2015-03-20,61.75,61.32,62.1,61.15,18.37M,0.009,18370000.0,20/03/2015,0.008986928104575131,0.009
2015-03-23,61.14,61.75,62.08,61.12,15.11M,-0.0099,15110000.0,23/03/2015,-0.009878542510121435,-0.0099
2015-03-24,60.46,60.97,61.24,60.45,12.13M,-0.0111,12130000.0,24/03/2015,-0.011122015047432154,-0.0111
2015-03-25,59.61,60.53,60.64,59.59,14.95M,-0.0141,14950000.0,25/03/2015,-0.014058881905392062,-0.0141
2015-03-26,59.54,59.46,59.79,58.87,14.04M,-0.0012,14040000.0,26/03/2015,-0.0011742996141587136,-0.0012
2015-03-27,59.55,59.49,59.78,59.0,11.76M,0.0002,11760000.0,27/03/2015,0.0001679543164259112,0.0002
2015-03-30,60.96,60.88,61.46,60.61,20.66M,0.0237,20660000.0,30/03/2015,0.023677581863979835,0.0237
2015-03-31,60.58,60.72,60.94,60.42,17.35M,-0.0062,17350000.0,31/03/2015,-0.00623359580052496,-0.0062
2015-04-01,59.95,60.41,60.57,59.73,18.10M,-0.0104,18100000.0,01/04/2015,-0.010399471772862268,-0.0104
2015-04-02,60.52,60.07,60.7,60.0,12.70M,0.0095,12700000.0,02/04/2015,0.009507923269391094,0.0095
2015-04-06,60.47,59.92,60.75,59.65,12.03M,-0.0008,12030000.0,06/04/2015,-0.0008261731658956162,-0.0008
2015-04-07,60.85,61.15,61.5,60.85,11.51M,0.0063,11510000.0,07/04/2015,0.0062841078220605695,0.0063
2015-04-08,61.05,61.06,61.56,60.94,11.73M,0.0033,11730000.0,08/04/2015,0.0032867707477401975,0.0033
2015-04-09,61.47,61.27,61.58,60.83,11.73M,0.0069,11730000.0,09/04/2015,0.00687960687960687,0.0069
2015-04-10,61.7,61.35,61.78,61.2,9.87M,0.0037,9870000.0,10/04/2015,0.0037416625996422592,0.0037
2015-04-13,62.07,61.64,62.27,61.5,15.47M,0.006,15470000.0,13/04/2015,0.005996758508914013,0.006
2015-04-14,63.04,62.96,63.61,62.74,33.78M,0.0156,33780000.0,14/04/2015,0.015627517319155793,0.0156
2015-04-15,64.21,63.08,64.48,63.01,28.73M,0.0186,28730000.0,15/04/2015,0.018559644670050668,0.0186
2015-04-16,63.81,64.08,64.27,63.66,16.64M,-0.0062,16640000.0,16/04/2015,-0.006229559258682293,-0.0062
2015-04-17,62.84,63.25,63.4,62.49,20.22M,-0.0152,20220000.0,17/04/2015,-0.01520137909418584,-0.0152
2015-04-20,63.24,63.22,63.52,63.14,12.76M,0.0064,12760000.0,20/04/2015,0.006365372374283806,0.0064
2015-04-21,62.31,63.33,63.6,62.13,14.99M,-0.0147,14990000.0,21/04/2015,-0.014705882352941124,-0.0147
2015-04-22,62.94,62.65,63.15,62.03,14.48M,0.0101,14480000.0,22/04/2015,0.010110736639383555,0.0101
2015-04-23,62.8,62.79,63.21,62.6,12.85M,-0.0022,12850000.0,23/04/2015,-0.0022243406418811507,-0.0022
2015-04-24,62.6,62.63,62.84,62.34,9.60M,-0.0032,9600000.0,24/04/2015,-0.0031847133757960666,-0.0032
2015-04-27,62.34,62.7,63.15,62.31,11.15M,-0.0042,11150000.0,27/04/2015,-0.0041533546325878135,-0.0042
2015-04-28,62.76,62.49,62.78,61.77,12.31M,0.0067,12310000.0,28/04/2015,0.006737247353224118,0.0067
2015-04-29,63.6,62.56,63.89,62.46,17.60M,0.0134,17600000.0,29/04/2015,0.013384321223709472,0.0134
2015-04-30,63.26,63.58,63.88,62.92,16.84M,-0.0053,16840000.0,30/04/2015,-0.005345911949685589,-0.0053
2015-05-01,63.61,63.7,63.87,63.33,11.64M,0.0055,11640000.0,01/05/2015,0.005532722099272913,0.0055
2015-05-04,64.72,63.68,64.87,63.64,14.97M,0.0175,14970000.0,04/05/2015,0.017450086464392278,0.0175
2015-05-05,64.4,64.51,65.32,64.29,17.69M,-0.0049,17690000.0,05/05/2015,-0.0049443757725585735,-0.0049
2015-05-06,63.92,64.53,65.07,63.42,18.09M,-0.0075,18090000.0,06/05/2015,-0.007453416149068359,-0.0075
2015-05-07,64.5,63.67,64.59,63.25,15.04M,0.0091,15040000.0,07/05/2015,0.009073842302878665,0.0091
2015-05-08,65.49,64.97,65.65,64.6,16.80M,0.0153,16800000.0,08/05/2015,0.015348837209302246,0.0153
2015-05-11,65.45,65.26,65.64,65.08,13.80M,-0.0006,13800000.0,11/05/2015,-0.0006107802717970623,-0.0006
2015-05-12,65.36,65.31,65.54,64.76,12.76M,-0.0014,12760000.0,12/05/2015,-0.0013750954927426173,-0.0014
2015-05-13,65.52,65.42,65.63,65.06,11.87M,0.0024,11870000.0,13/05/2015,0.00244798041615657,0.0024
2015-05-14,66.05,65.83,66.18,65.71,11.86M,0.0081,11860000.0,14/05/2015,0.00808913308913306,0.0081
2015-05-15,65.88,66.13,66.16,65.44,11.15M,-0.0026,11150000.0,15/05/2015,-0.002573807721423238,-0.0026
2015-05-18,66.42,65.8,66.54,65.8,10.51M,0.0082,10510000.0,18/05/2015,0.00819672131147553,0.0082
2015-05-19,67.01,66.77,67.19,66.57,14.28M,0.0089,14280000.0,19/05/2015,0.008882866606443995,0.0089
2015-05-20,66.48,66.95,67.03,66.4,12.45M,-0.0079,12450000.0,20/05/2015,-0.007909267273541243,-0.0079
2015-05-21,66.65,66.14,66.68,66.01,12.93M,0.0026,12930000.0,21/05/2015,0.0025571600481348877,0.0026
2015-05-22,66.47,66.63,66.83,66.32,9.30M,-0.0027,9300000.0,22/05/2015,-0.0027006751687923547,-0.0027
2015-05-26,65.73,66.2,66.29,65.31,15.57M,-0.0111,15570000.0,26/05/2015,-0.011132841883556455,-0.0111
2015-05-27,66.47,65.95,66.65,65.82,10.96M,0.0113,10960000.0,27/05/2015,0.011258177392362567,0.0113
2015-05-28,66.2,66.36,66.4,65.74,11.80M,-0.0041,11800000.0,28/05/2015,-0.004061982849405732,-0.0041
2015-05-29,65.78,66.18,66.22,65.36,14.31M,-0.0063,14310000.0,29/05/2015,-0.006344410876132911,-0.0063
2015-06-01,66.08,65.99,66.66,65.97,11.90M,0.0046,11900000.0,01/06/2015,0.004560656734569735,0.0046
2015-06-02,66.02,65.83,66.39,65.58,12.78M,-0.0009,12780000.0,02/06/2015,-0.0009079903147699575,-0.0009
2015-06-03,66.7,66.43,67.13,66.27,12.93M,0.0103,12930000.0,03/06/2015,0.010299909118449024,0.0103
2015-06-04,66.33,66.31,67.05,66.01,13.86M,-0.0055,13860000.0,04/06/2015,-0.005547226386806714,-0.0055
2015-06-05,67.42,67.37,67.84,67.01,20.80M,0.0164,20800000.0,05/06/2015,0.01643298658224035,0.0164
2015-06-08,66.89,67.46,67.55,66.81,14.56M,-0.0079,14560000.0,08/06/2015,-0.007861168792643203,-0.0079
2015-06-09,67.18,66.95,67.27,66.47,13.26M,0.0043,13260000.0,09/06/2015,0.004335476154881279,0.0043
2015-06-10,68.26,67.59,68.5,67.47,17.48M,0.0161,17480000.0,10/06/2015,0.016076213158678243,0.0161
2015-06-11,68.52,68.36,68.68,68.15,13.74M,0.0038,13740000.0,11/06/2015,0.0038089657193083326,0.0038
2015-06-12,68.25,68.31,68.54,67.87,11.80M,-0.0039,11800000.0,12/06/2015,-0.0039404553415061105,-0.0039
2015-06-15,67.99,67.58,68.21,67.3,14.08M,-0.0038,14080000.0,15/06/2015,-0.003809523809523929,-0.0038
2015-06-16,68.37,67.77,68.52,67.62,11.69M,0.0056,11690000.0,16/06/2015,0.005589057214296256,0.0056
2015-06-17,68.14,68.41,68.68,68.03,14.52M,-0.0034,14520000.0,17/06/2015,-0.003364048559309718,-0.0034
2015-06-18,68.78,68.35,68.82,67.9,16.76M,0.0094,16760000.000000002,18/06/2015,0.009392427355444655,0.0094
2015-06-19,68.08,68.46,68.67,67.92,21.61M,-0.0102,21610000.0,19/06/2015,-0.010177377144518829,-0.0102
2015-06-22,68.96,68.87,69.29,68.75,14.31M,0.0129,14310000.0,22/06/2015,0.012925969447708408,0.0129
2015-06-23,69.75,69.35,69.82,69.19,15.74M,0.0115,15740000.0,23/06/2015,0.011455916473317895,0.0115
2015-06-24,69.02,69.51,69.77,68.91,17.00M,-0.0105,17000000.0,24/06/2015,-0.010465949820788634,-0.0105
2015-06-25,68.65,69.32,69.47,68.64,13.31M,-0.0054,13310000.0,25/06/2015,-0.0053607649956533,-0.0054
2015-06-26,68.95,68.94,69.29,68.77,14.49M,0.0044,14490000.0,26/06/2015,0.004369992716678706,0.0044
2015-06-29,67.2,67.68,68.26,67.16,19.93M,-0.0254,19930000.0,29/06/2015,-0.025380710659898442,-0.0254
2015-06-30,67.76,67.89,68.11,67.16,20.68M,0.0083,20680000.0,30/06/2015,0.008333333333333304,0.0083
2015-07-01,68.07,68.12,68.39,67.78,13.96M,0.0046,13960000.0,01/07/2015,0.0045749704840611916,0.0046
2015-07-02,67.52,67.95,68.13,67.19,12.82M,-0.0081,12820000.0,02/07/2015,-0.008079917731746655,-0.0081
2015-07-06,67.33,66.88,67.46,66.54,13.53M,-0.0028,13530000.0,06/07/2015,-0.002813981042653957,-0.0028
2015-07-07,66.8,67.09,67.22,65.3,22.42M,-0.0079,22420000.0,07/07/2015,-0.007871676815684014,-0.0079
2015-07-08,65.43,66.0,66.16,65.2,17.71M,-0.0205,17710000.0,08/07/2015,-0.020508982035927992,-0.0205
2015-07-09,66.11,66.49,66.7,65.99,14.98M,0.0104,14980000.0,09/07/2015,0.010392786183707647,0.0104
2015-07-10,67.05,67.22,67.4,66.83,12.36M,0.0142,12360000.0,10/07/2015,0.014218726365148981,0.0142
2015-07-13,68.09,67.89,68.14,67.68,16.18M,0.0155,16180000.0,13/07/2015,0.01551081282624911,0.0155
2015-07-14,69.04,67.98,69.1,67.76,20.19M,0.014,20190000.0,14/07/2015,0.013952122191217553,0.014
2015-07-15,69.19,69.23,69.43,68.85,16.89M,0.0022,16890000.0,15/07/2015,0.0021726535341830555,0.0022
2015-07-16,69.56,69.63,69.95,69.41,18.04M,0.0053,18040000.0,16/07/2015,0.005347593582887722,0.0053
2015-07-17,69.21,69.35,69.49,68.92,14.04M,-0.005,14040000.0,17/07/2015,-0.0050316273720529825,-0.005
2015-07-20,69.26,69.5,69.77,69.18,11.51M,0.0007,11510000.0,20/07/2015,0.0007224389539086662,0.0007
2015-07-21,69.1,69.16,69.54,68.87,11.66M,-0.0023,11660000.0,21/07/2015,-0.0023101357204737827,-0.0023
2015-07-22,70.08,69.28,70.29,69.2,15.49M,0.0142,15490000.0,22/07/2015,0.014182344428364857,0.0142
2015-07-23,69.64,70.19,70.61,69.46,14.33M,-0.0063,14330000.0,23/07/2015,-0.006278538812785395,-0.0063
2015-07-24,68.91,69.44,69.56,68.68,12.41M,-0.0105,12410000.0,24/07/2015,-0.010482481332567573,-0.0105
2015-07-27,68.01,68.15,68.22,67.57,16.80M,-0.0131,16800000.0,27/07/2015,-0.013060513713539224,-0.0131
2015-07-28,68.05,68.55,68.6,67.77,14.93M,0.0006,14930000.0,28/07/2015,0.000588148801646593,0.0006
2015-07-29,68.94,68.32,69.1,68.16,13.06M,0.0131,13060000.0,29/07/2015,0.013078618662748065,0.0131
2015-07-30,69.04,68.93,69.45,68.54,10.20M,0.0015,10200000.0,30/07/2015,0.0014505366985786416,0.0015
2015-07-31,68.53,69.01,69.04,68.4,11.91M,-0.0074,11910000.0,31/07/2015,-0.007387022016222544,-0.0074
2015-08-03,68.53,68.59,68.84,68.0,9.98M,0.0,9980000.0,03/08/2015,0.0,0.0
2015-08-04,68.46,68.47,68.95,68.31,10.96M,-0.001,10960000.0,04/08/2015,-0.0010214504596528506,-0.001
2015-08-05,68.73,69.05,69.42,68.56,11.30M,0.0039,11300000.0,05/08/2015,0.003943908851884448,0.0039
2015-08-06,68.25,68.75,68.94,68.0,10.80M,-0.007,10800000.0,06/08/2015,-0.0069838498472283295,-0.007
2015-08-07,68.05,68.33,68.74,67.55,11.45M,-0.0029,11450000.0,07/08/2015,-0.00293040293040292,-0.0029
2015-08-10,68.89,68.22,69.0,68.22,12.66M,0.0123,12660000.0,10/08/2015,0.012343864805290261,0.0123
2015-08-11,68.23,68.23,68.4,67.85,14.80M,-0.0096,14800000.0,11/08/2015,-0.009580490637247752,-0.0096
2015-08-12,67.24,67.41,67.55,66.07,21.15M,-0.0145,21150000.0,12/08/2015,-0.014509746445845018,-0.0145
2015-08-13,67.55,67.25,67.8,66.97,11.93M,0.0046,11930000.0,13/08/2015,0.0046103509815587085,0.0046
2015-08-14,67.89,67.42,67.91,67.4,11.25M,0.005,11250000.0,14/08/2015,0.005033308660251645,0.005
2015-08-17,68.07,67.62,68.24,67.4,10.33M,0.0027,10330000.0,17/08/2015,0.002651347768448886,0.0027
2015-08-18,68.21,67.98,68.36,67.84,10.62M,0.0021,10620000.0,18/08/2015,0.002056706331717395,0.0021
2015-08-19,67.6,67.93,68.31,67.36,15.20M,-0.0089,15200000.0,19/08/2015,-0.00894297023896784,-0.0089
2015-08-20,65.94,66.81,67.04,65.94,20.97M,-0.0246,20970000.0,20/08/2015,-0.02455621301775146,-0.0246
2015-08-21,63.6,65.09,65.44,63.57,28.24M,-0.0355,28240000.0,21/08/2015,-0.03548680618744304,-0.0355
2015-08-24,60.25,59.29,62.92,50.07,36.34M,-0.0527,36340000.0,24/08/2015,-0.05267295597484278,-0.0527
2015-08-25,59.91,63.1,63.32,59.73,31.77M,-0.0056,31770000.0,25/08/2015,-0.005643153526970979,-0.0056
2015-08-26,62.91,61.8,62.98,60.55,33.58M,0.0501,33580000.0,26/08/2015,0.05007511266900355,0.0501
2015-08-27,64.48,63.98,64.73,63.13,29.05M,0.025,29050000.0,27/08/2015,0.024956286758861967,0.025
2015-08-28,64.13,64.29,64.46,63.6,16.69M,-0.0054,16690000.000000002,28/08/2015,-0.005428039702233378,-0.0054
2015-08-31,64.1,63.61,64.35,63.47,14.22M,-0.0005,14220000.0,31/08/2015,-0.0004677997816934232,-0.0005
2015-09-01,61.45,62.85,62.85,60.99,23.64M,-0.0413,23640000.0,01/09/2015,-0.041341653666146505,-0.0413
2015-09-02,62.57,62.62,62.91,61.54,17.76M,0.0182,17760000.0,02/09/2015,0.018226200162733797,0.0182
2015-09-03,62.68,62.88,63.66,62.45,17.07M,0.0018,17070000.0,03/09/2015,0.0017580310052740522,0.0018
2015-09-04,61.5,61.8,61.92,60.75,20.19M,-0.0188,20190000.0,04/09/2015,-0.018825781748564085,-0.0188
2015-09-08,63.16,62.77,63.2,62.33,13.39M,0.027,13390000.0,08/09/2015,0.026991869918699063,0.027
2015-09-09,62.18,63.94,64.34,62.0,13.89M,-0.0155,13890000.0,09/09/2015,-0.015516149461684559,-0.0155
2015-09-10,62.66,61.86,62.99,61.45,15.75M,0.0077,15750000.0,10/09/2015,0.0077195239626888235,0.0077
2015-09-11,62.56,62.38,62.66,61.99,12.77M,-0.0016,12770000.0,11/09/2015,-0.0015959144589848817,-0.0016
2015-09-14,62.38,62.64,62.69,62.12,10.20M,-0.0029,10200000.0,14/09/2015,-0.002877237851662384,-0.0029
2015-09-15,63.58,62.76,63.89,62.51,14.02M,0.0192,14020000.0,15/09/2015,0.019236934915036752,0.0192
2015-09-16,64.14,63.89,64.29,63.21,12.24M,0.0088,12240000.0,16/09/2015,0.008807801195344522,0.0088
2015-09-17,62.65,64.14,64.64,62.39,21.25M,-0.0232,21250000.0,17/09/2015,-0.023230433426878694,-0.0232
2015-09-18,60.94,61.83,61.83,60.78,31.01M,-0.0273,31010000.0,18/09/2015,-0.02729449321628097,-0.0273
2015-09-21,61.45,61.52,61.91,61.08,13.14M,0.0084,13140000.0,21/09/2015,0.00836888743025943,0.0084
2015-09-22,60.91,60.6,61.09,60.42,14.81M,-0.0088,14810000.0,22/09/2015,-0.008787632221318287,-0.0088
2015-09-23,60.64,60.8,61.15,60.32,11.71M,-0.0044,11710000.0,23/09/2015,-0.004432769660154268,-0.0044
2015-09-24,60.22,60.01,60.38,59.46,17.29M,-0.0069,17290000.0,24/09/2015,-0.006926121372031635,-0.0069
2015-09-25,61.47,61.27,61.86,60.87,18.38M,0.0208,18380000.0,25/09/2015,0.02075722351378273,0.0208
2015-09-28,59.98,60.92,61.01,59.69,17.45M,-0.0242,17450000.0,28/09/2015,-0.024239466406377086,-0.0242
2015-09-29,59.84,59.98,60.13,58.73,19.33M,-0.0023,19330000.0,29/09/2015,-0.002334111370456693,-0.0023
2015-09-30,60.97,60.7,61.0,60.11,18.74M,0.0189,18740000.0,30/09/2015,0.018883689839572115,0.0189
2015-10-01,61.42,61.12,61.87,60.54,16.86M,0.0074,16860000.0,01/10/2015,0.0073806790224701935,0.0074
2015-10-02,60.81,59.59,60.86,58.53,20.44M,-0.0099,20440000.0,02/10/2015,-0.009931618365353279,-0.0099
2015-10-05,62.02,61.24,62.24,61.22,13.47M,0.0199,13470000.0,05/10/2015,0.019898043085018857,0.0199
2015-10-06,62.05,62.11,62.36,61.62,12.13M,0.0005,12130000.0,06/10/2015,0.00048371493066734494,0.0005
2015-10-07,62.13,62.55,63.03,61.76,12.82M,0.0013,12820000.0,07/10/2015,0.0012892828364223785,0.0013
2015-10-08,62.13,61.85,62.25,61.43,13.96M,0.0,13960000.0,08/10/2015,0.0,0.0
2015-10-09,61.93,62.39,62.55,61.58,12.11M,-0.0032,12110000.0,09/10/2015,-0.0032190568163528166,-0.0032
2015-10-12,61.72,61.84,62.01,61.4,10.86M,-0.0034,10860000.0,12/10/2015,-0.0033909252381721933,-0.0034
2015-10-13,61.55,61.39,62.16,61.31,15.62M,-0.0028,15620000.0,13/10/2015,-0.002754374594944986,-0.0028
2015-10-14,59.99,60.76,60.97,59.54,28.99M,-0.0253,28990000.0,14/10/2015,-0.025345247766043744,-0.0253
2015-10-15,61.89,60.47,61.96,60.1,18.15M,0.0317,18150000.0,15/10/2015,0.031671945324220685,0.0317
2015-10-16,62.43,62.43,62.65,62.09,17.46M,0.0087,17460000.0,16/10/2015,0.008725157537566641,0.0087
2015-10-19,62.22,62.0,62.77,61.91,14.51M,-0.0034,14510000.0,19/10/2015,-0.0033637674195098333,-0.0034
2015-10-20,62.52,62.36,62.81,62.08,11.55M,0.0048,11550000.0,20/10/2015,0.004821600771456103,0.0048
2015-10-21,62.06,62.88,62.96,62.05,12.17M,-0.0074,12170000.0,21/10/2015,-0.007357645553422887,-0.0074
2015-10-22,63.19,62.42,63.58,62.42,15.30M,0.0182,15300000.0,22/10/2015,0.01820818562681259,0.0182
2015-10-23,63.87,63.63,64.19,63.5,16.99M,0.0108,16990000.0,23/10/2015,0.010761196391834149,0.0108
2015-10-26,63.9,63.84,63.99,63.41,13.88M,0.0005,13880000.0,26/10/2015,0.00046970408642565964,0.0005
2015-10-27,63.64,63.53,63.86,63.31,8.83M,-0.0041,8830000.0,27/10/2015,-0.0040688575899843205,-0.0041
2015-10-28,65.5,63.7,65.74,63.69,17.96M,0.0292,17960000.0,28/10/2015,0.02922690131992467,0.0292
2015-10-29,65.21,65.26,65.83,64.88,12.75M,-0.0044,12750000.0,29/10/2015,-0.004427480916030624,-0.0044
2015-10-30,64.25,65.3,65.34,64.13,15.73M,-0.0147,15730000.0,30/10/2015,-0.014721668455758175,-0.0147
2015-11-02,65.54,64.45,65.75,64.39,15.25M,0.0201,15250000.0,02/11/2015,0.020077821011673214,0.0201
2015-11-03,65.78,65.29,66.1,65.17,11.52M,0.0037,11520000.0,03/11/2015,0.0036618858712236246,0.0037
2015-11-04,65.85,66.01,66.15,65.63,11.39M,0.0011,11390000.0,04/11/2015,0.00106415323806619,0.0011
2015-11-05,66.44,65.79,66.67,65.75,12.72M,0.009,12720000.0,05/11/2015,0.008959757023538462,0.009
2015-11-06,68.46,68.37,69.03,68.1,23.26M,0.0304,23260000.0,06/11/2015,0.030403371462974116,0.0304
2015-11-09,67.39,68.7,68.72,67.08,17.14M,-0.0156,17140000.0,09/11/2015,-0.0156295647093192,-0.0156
2015-11-10,67.68,67.19,67.85,66.93,13.24M,0.0043,13240000.0,10/11/2015,0.0043033090963051635,0.0043
2015-11-11,67.35,68.1,68.17,67.25,8.51M,-0.0049,8510000.0,11/11/2015,-0.004875886524822848,-0.0049
2015-11-12,66.0,66.86,66.9,65.95,13.58M,-0.02,13580000.0,12/11/2015,-0.020044543429843964,-0.02
2015-11-13,65.56,65.84,66.17,65.23,11.84M,-0.0067,11840000.0,13/11/2015,-0.006666666666666599,-0.0067
2015-11-16,66.51,65.46,66.58,65.17,11.04M,0.0145,11040000.0,16/11/2015,0.014490543014032964,0.0145
2015-11-17,66.13,66.67,66.74,65.89,12.35M,-0.0057,12350000.0,17/11/2015,-0.00571342655239826,-0.0057
2015-11-18,67.45,66.48,67.55,66.37,12.91M,0.02,12910000.0,18/11/2015,0.019960683502192822,0.02
2015-11-19,67.66,67.58,67.82,67.04,12.84M,0.0031,12840000.0,19/11/2015,0.0031134173461822012,0.0031
2015-11-20,67.54,67.99,68.11,67.38,11.21M,-0.0018,11210000.0,20/11/2015,-0.001773573751108315,-0.0018
2015-11-23,66.88,67.31,67.58,66.78,11.34M,-0.0098,11340000.0,23/11/2015,-0.009771986970684154,-0.0098
